key,bot_type,leverage,trades,win_rate,profit_factor,total_return_pct,max_drawdown_pct,sharpe_ratio,final_capital
sectorsync_nofear_3d_lev10,sectorsync_nofear_3d,10,375,31.7,1.11,468.0,-40.9,0.87,5679976.0
meanrevert_wide_b_lev3,meanrevert_wide,3,1037,35.6,1.24,845.1,-83.6,0.87,9450539.0
sectorsync_nofear_lev5,sectorsync_nofear,5,382,33.5,1.2,386.5,-33.8,0.86,4864596.0
weakshort_strongfilter_lev5,weakshort_strongfilter,5,227,36.6,1.37,373.3,-54.5,0.86,4733135.0
alpha_r3_lev10,alpha_relaxed,10,73,38.4,1.74,643.6,-52.0,0.86,7436222.0
alpha_r4_lev10,alpha_relaxed,10,152,33.6,1.52,776.4,-64.4,0.86,8764386.0
alpha_r5_lev10,alpha_relaxed,10,174,35.6,1.47,1008.5,-77.3,0.86,11084864.0
sectorsync_nofear_lev3,sectorsync_nofear,3,382,33.5,1.2,229.5,-29.9,0.85,3295297.0
alpha_r9_lev5,alpha_relaxed,5,37,35.1,1.85,250.7,-27.8,0.85,3507066.0
weakshort_strongfilter_lev10,weakshort_strongfilter,10,227,36.6,1.35,727.5,-79.6,0.84,8275012.0
alpha_r1_lev10,alpha_relaxed,10,45,37.8,1.8,346.8,-48.6,0.84,4468020.0
sectorsync_nofear_lev10,sectorsync_nofear,10,382,33.5,1.2,757.4,-51.8,0.83,8574331.0
alpha_r1_lev5,alpha_relaxed,5,45,37.8,1.78,164.2,-40.0,0.81,2642227.0
alpha_r1_lev3,alpha_relaxed,3,45,37.8,1.79,90.6,-29.9,0.79,1905749.0
alpha_r1_lev1,alpha_relaxed,1,45,37.8,1.86,25.8,-11.1,0.78,1258130.0
alpha_r9_lev3,alpha_relaxed,3,37,35.1,1.8,137.3,-24.5,0.78,2373298.0
sectorsync_nofear_3d_lev5,sectorsync_nofear_3d,5,375,31.7,1.11,226.9,-37.3,0.76,3269159.0
alpha_r8_lev10,alpha_relaxed,10,73,34.2,1.46,524.4,-58.0,0.75,6243699.0
alpha_r8_lev5,alpha_relaxed,5,73,34.2,1.5,274.6,-40.1,0.74,3746202.0
gaptrap_20x_lev10,gaptrap,10,8,75.0,3.69,86.5,-8.8,0.74,1865199.0
sectorsync_nofear_lev1,sectorsync_nofear,1,382,33.5,1.19,66.1,-17.4,0.73,1660675.0
alpha_r9_lev1,alpha_relaxed,1,37,35.1,1.87,38.0,-11.1,0.72,1379863.0
alpha_r8_lev3,alpha_relaxed,3,73,34.2,1.49,152.8,-31.1,0.7,2528212.0
gaptrap_20x_lev1,gaptrap,1,8,75.0,4.28,6.8,-1.0,0.7,1068243.0
gaptrap_20x_lev3,gaptrap,3,8,75.0,3.97,21.4,-3.1,0.7,1213982.0
gaptrap_20x_lev5,gaptrap,5,8,75.0,3.7,37.2,-5.1,0.7,1372270.0
alpha_r2_lev10,alpha_relaxed,10,73,32.9,1.45,308.3,-63.8,0.67,4083250.0
alpha_r2_lev5,alpha_relaxed,5,73,32.9,1.48,158.3,-45.6,0.66,2583080.0
alpha_r8_lev1,alpha_relaxed,1,73,34.2,1.5,40.9,-11.7,0.66,1409223.0
sectorsync_nofear_3d_lev3,sectorsync_nofear_3d,3,375,31.7,1.1,124.7,-34.1,0.64,2246587.0
alpha_r2_lev1,alpha_relaxed,1,73,32.9,1.51,25.8,-11.9,0.63,1258067.0
alpha_r2_lev3,alpha_relaxed,3,73,32.9,1.48,86.5,-31.9,0.63,1864591.0
sniper_v2_lev10,sniper_improved,10,19,36.8,1.45,104.9,-42.0,0.46,2049164.0
sectorsync_nofear_3d_lev1,sectorsync_nofear_3d,1,375,31.7,1.09,32.5,-21.4,0.45,1324503.0
sniper_v2_lev5,sniper_improved,5,19,36.8,1.41,48.9,-24.5,0.38,1488980.0
sniper_v2_lev3,sniper_improved,3,19,36.8,1.45,30.4,-16.2,0.36,1303572.0
sniper_v2_lev1,sniper_improved,1,19,36.8,1.54,10.7,-5.5,0.35,1107326.0
sniper_v1_lev10,sniper_improved,10,12,33.3,1.18,32.7,-55.1,0.3,1326737.0
event_wick_v2_lev10,event_wick,10,12,41.7,0.95,-6.6,-78.3,0.25,933970.0
event_wick_v1_lev10,event_wick,10,31,41.9,0.84,-47.5,-86.8,0.24,524781.0
event_wick_v1_lev5,event_wick,5,31,41.9,1.04,8.9,-56.3,0.23,1088624.0
sniper_v1_lev5,sniper_improved,5,12,33.3,1.19,16.5,-38.8,0.22,1164701.0
event_wick_v1_lev1,event_wick,1,31,41.9,1.19,8.7,-13.0,0.22,1086636.0
event_wick_v1_lev3,event_wick,3,31,41.9,1.11,15.5,-36.3,0.22,1154682.0
event_wick_v2_lev5,event_wick,5,12,41.7,1.18,14.3,-49.2,0.22,1143255.0
sniper_v1_lev3,sniper_improved,3,12,33.3,1.26,12.1,-25.5,0.21,1121415.0
event_wick_v2_lev3,event_wick,3,12,41.7,1.26,13.2,-32.0,0.21,1131540.0
sniper_v1_lev1,sniper_improved,1,12,33.3,1.36,4.8,-9.4,0.2,1048404.0
sniper_v3_lev10,sniper_improved,10,6,33.3,1.11,11.1,-54.1,0.2,1110663.0
event_wick_v2_lev1,event_wick,1,12,41.7,1.34,5.8,-11.5,0.19,1058204.0
sniper_v3_lev5,sniper_improved,5,6,33.3,1.19,7.7,-33.6,0.15,1077178.0
sniper_v3_lev3,sniper_improved,3,6,33.3,1.26,5.9,-21.9,0.14,1058969.0
sniper_v3_lev1,sniper_improved,1,6,33.3,1.36,2.4,-7.9,0.13,1023916.0
meanrevert_wide_b_lev10,meanrevert_wide,10,163,30.7,0.83,-99.1,-99.4,-0.16,8984.0
