Bot,TP_mult,SL_mult,TP_pct,SL_pct,Leverage,PF,Return,MDD,WR,Sharpe,Trades,AvgHold_d
surge,0.8,1.4,4.0,2.8,7,1.24,222.5,-65.7,49.8,0.77,279,1.1
surge,0.8,1.4,4.0,2.8,10,1.23,321.4,-76.8,49.8,0.93,279,1.1
surge,0.8,1.4,4.0,2.8,15,1.21,436.3,-93.7,49.8,1.15,279,1.1
surge,0.8,1.4,4.0,2.8,20,1.19,490.4,-101.5,49.8,1.38,279,1.1
surge,1.0,0.6,5.0,1.2,3,2.72,489.2,-26.1,45.2,0.86,279,1.1
surge,1.0,0.6,5.0,1.2,5,2.74,868.1,-36.1,45.2,0.92,279,1.1
surge,1.0,0.6,5.0,1.2,7,2.74,1246.4,-43.3,45.2,0.95,279,1.1
surge,1.0,0.6,5.0,1.2,10,2.75,1814.0,-54.6,45.2,0.97,279,1.1
surge,1.0,0.6,5.0,1.2,15,2.75,2758.0,-58.8,45.2,1.01,279,1.1
surge,1.0,0.6,5.0,1.2,20,2.75,3703.3,-64.2,45.2,1.02,279,1.1
surge,1.0,0.8,5.0,1.6,3,2.13,396.5,-30.0,45.2,0.77,279,1.1
surge,1.0,0.8,5.0,1.6,5,2.13,711.6,-40.6,45.2,0.85,279,1.1
surge,1.0,0.8,5.0,1.6,7,2.13,1028.3,-43.4,45.2,0.89,279,1.1
surge,1.0,0.8,5.0,1.6,10,2.14,1502.6,-54.6,45.2,0.93,279,1.1
surge,1.0,0.8,5.0,1.6,15,2.14,2291.5,-65.4,45.2,0.97,279,1.1
surge,1.0,0.8,5.0,1.6,20,2.14,3076.9,-66.5,45.2,1.0,279,1.1
surge,1.0,1.0,5.0,2.0,3,1.79,312.8,-34.6,45.5,0.69,279,1.1
surge,1.0,1.0,5.0,2.0,5,1.77,573.6,-42.7,45.5,0.78,279,1.1
surge,1.0,1.0,5.0,2.0,7,1.77,833.6,-51.2,45.5,0.84,279,1.1
surge,1.0,1.0,5.0,2.0,10,1.77,1222.0,-54.6,45.5,0.89,279,1.1
surge,1.0,1.0,5.0,2.0,15,1.78,1872.3,-68.6,45.5,0.95,279,1.1
surge,1.0,1.0,5.0,2.0,20,1.78,2515.7,-75.7,45.5,1.0,279,1.1
surge,1.0,1.2,5.0,2.4,3,1.54,229.8,-40.6,45.9,0.62,279,1.2
surge,1.0,1.2,5.0,2.4,5,1.52,433.7,-45.9,45.9,0.73,279,1.2
surge,1.0,1.2,5.0,2.4,7,1.52,638.0,-57.3,45.9,0.79,279,1.2
surge,1.0,1.2,5.0,2.4,10,1.52,941.8,-65.6,45.9,0.87,279,1.2
surge,1.0,1.2,5.0,2.4,15,1.52,1442.4,-68.7,45.9,0.96,279,1.2
surge,1.0,1.2,5.0,2.4,20,1.52,1941.1,-80.4,45.9,1.04,279,1.2
surge,1.0,1.4,5.0,2.8,3,1.39,168.9,-46.2,47.0,0.56,279,1.2
surge,1.0,1.4,5.0,2.8,5,1.39,323.8,-48.9,47.0,0.69,279,1.2
surge,1.0,1.4,5.0,2.8,7,1.37,482.4,-60.6,47.0,0.77,279,1.2
surge,1.0,1.4,5.0,2.8,10,1.38,737.5,-73.3,47.0,0.87,279,1.2
surge,1.0,1.4,5.0,2.8,15,1.37,1119.7,-83.3,47.0,1.0,279,1.2
surge,1.0,1.4,5.0,2.8,20,1.37,1475.3,-90.2,47.0,1.14,279,1.2
surge,1.2,0.6,6.0,1.2,3,3.07,621.9,-24.9,43.4,1.0,279,1.1
surge,1.2,0.6,6.0,1.2,5,3.09,1088.7,-33.4,43.4,1.03,279,1.1
surge,1.2,0.6,6.0,1.2,7,3.09,1555.8,-42.5,43.4,1.04,279,1.1
surge,1.2,0.6,6.0,1.2,10,3.1,2255.8,-52.0,43.4,1.05,279,1.1
surge,1.2,0.6,6.0,1.2,15,3.1,3421.4,-53.2,43.4,1.07,279,1.1
surge,1.2,0.6,6.0,1.2,20,3.1,4585.3,-63.0,43.4,1.05,279,1.1
surge,1.2,0.8,6.0,1.6,3,2.39,526.2,-26.5,43.4,0.9,279,1.1
surge,1.2,0.8,6.0,1.6,5,2.4,929.3,-34.9,43.4,0.96,279,1.1
surge,1.2,0.8,6.0,1.6,7,2.41,1331.5,-42.5,43.4,0.98,279,1.1
surge,1.2,0.8,6.0,1.6,10,2.41,1935.1,-53.7,43.4,0.99,279,1.1
surge,1.2,0.8,6.0,1.6,15,2.41,2937.3,-59.3,43.4,1.02,279,1.1
surge,1.2,0.8,6.0,1.6,20,2.41,3939.2,-63.0,43.4,1.03,279,1.1
surge,1.2,1.0,6.0,2.0,3,1.96,432.3,-28.1,43.4,0.81,279,1.2
surge,1.2,1.0,6.0,2.0,5,1.96,768.2,-40.4,43.4,0.88,279,1.2
surge,1.2,1.0,6.0,2.0,7,1.97,1105.2,-42.5,43.4,0.91,279,1.2
surge,1.2,1.0,6.0,2.0,10,1.97,1612.0,-53.7,43.4,0.94,279,1.2
surge,1.2,1.0,6.0,2.0,15,1.98,2451.7,-65.9,43.4,0.98,279,1.2
surge,1.2,1.0,6.0,2.0,20,1.97,3285.8,-68.8,43.4,1.0,279,1.2
surge,1.2,1.2,6.0,2.4,3,1.69,346.3,-32.1,43.7,0.72,279,1.2
surge,1.2,1.2,6.0,2.4,5,1.68,627.2,-43.7,43.7,0.81,279,1.2
surge,1.2,1.2,6.0,2.4,7,1.69,908.0,-49.3,43.7,0.86,279,1.2
surge,1.2,1.2,6.0,2.4,10,1.69,1327.9,-53.7,43.7,0.9,279,1.2
surge,1.2,1.2,6.0,2.4,15,1.69,2021.0,-67.8,43.7,0.96,279,1.2
surge,1.2,1.2,6.0,2.4,20,1.69,2709.4,-78.4,43.7,1.01,279,1.2
surge,1.2,1.4,6.0,2.8,3,1.53,276.5,-36.4,44.4,0.66,279,1.2
surge,1.2,1.4,6.0,2.8,5,1.51,514.5,-46.4,44.4,0.76,279,1.2
surge,1.2,1.4,6.0,2.8,7,1.51,741.1,-57.0,44.4,0.81,279,1.2
surge,1.2,1.4,6.0,2.8,10,1.51,1084.1,-62.3,44.4,0.88,279,1.2
surge,1.2,1.4,6.0,2.8,15,1.51,1647.1,-67.8,44.4,0.96,279,1.2
surge,1.2,1.4,6.0,2.8,20,1.5,2201.2,-79.2,44.4,1.04,279,1.2
surge,1.4,0.6,7.0,1.2,3,3.27,715.8,-24.1,40.9,1.09,279,1.2
surge,1.4,0.6,7.0,1.2,5,3.3,1245.5,-32.7,40.9,1.11,279,1.2
surge,1.4,0.6,7.0,1.2,7,3.3,1774.8,-41.8,40.9,1.1,279,1.2
surge,1.4,0.6,7.0,1.2,10,3.31,2568.3,-52.0,40.9,1.09,279,1.2
surge,1.4,0.6,7.0,1.2,15,3.3,3888.1,-54.5,40.9,1.08,279,1.2
surge,1.4,0.6,7.0,1.2,20,3.3,5214.1,-62.3,40.9,1.06,279,1.2
surge,1.4,0.8,7.0,1.6,3,2.56,626.5,-25.7,41.2,1.01,279,1.2
surge,1.4,0.8,7.0,1.6,5,2.58,1096.0,-32.7,41.2,1.04,279,1.2
surge,1.4,0.8,7.0,1.6,7,2.59,1565.7,-41.8,41.2,1.05,279,1.2
surge,1.4,0.8,7.0,1.6,10,2.59,2267.7,-52.7,41.2,1.05,279,1.2
surge,1.4,0.8,7.0,1.6,15,2.59,3433.5,-56.3,41.2,1.05,279,1.2
surge,1.4,0.8,7.0,1.6,20,2.59,4606.3,-62.3,41.2,1.04,279,1.2
surge,1.4,1.0,7.0,2.0,3,2.09,527.2,-27.3,41.2,0.91,279,1.2
surge,1.4,1.0,7.0,2.0,5,2.11,930.5,-34.6,41.2,0.96,279,1.2
surge,1.4,1.0,7.0,2.0,7,2.12,1332.5,-41.8,41.2,0.98,279,1.2
