symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
CAKE/USDT:USDT,2025-03-17,1.7794,long,2,2025-03-17,1.86837,TP,0,4.78,9.56,19120.0
BMT/USDT:USDT,2025-03-19,0.2662,long,2,2025-03-19,0.260876,SL,0,-2.22,-4.44,-9049.79
BANANA/USDT:USDT,2025-03-22,22.91,long,2,2025-03-22,24.055500000000002,TP,0,4.78,9.56,19312.54
BANANAS31/USDT:USDT,2025-03-23,0.005448,long,2,2025-03-23,0.0057204,TP,0,4.78,9.56,19681.8
BR/USDT:USDT,2025-03-29,0.0981,short,2,2025-03-29,0.093195,TP,0,4.78,9.56,20058.11
BANANAS31/USDT:USDT,2025-03-30,0.005254,short,2,2025-03-30,0.0053590800000000004,SL,0,-2.22,-4.44,-9493.81
ALCH/USDT:USDT,2025-03-31,0.07,short,2,2025-03-31,0.0665,TP,0,4.78,9.56,20260.1
ACT/USDT:USDT,2025-04-03,0.0521,short,2,2025-04-03,0.049495,TP,0,4.78,9.56,20647.48
ALCH/USDT:USDT,2025-04-06,0.0692,short,2,2025-04-06,0.06573999999999999,TP,0,4.78,9.56,21042.26
AUCTION/USDT:USDT,2025-04-07,13.8,long,2,2025-04-07,13.524000000000001,SL,0,-2.22,-4.44,-9959.62
ALCH/USDT:USDT,2025-04-11,0.0843,long,2,2025-04-11,0.08851500000000001,TP,0,4.78,9.56,21254.16
ARK/USDT:USDT,2025-04-14,0.4173,long,2,2025-04-14,0.408954,SL,0,-2.22,-4.44,-10059.91
ACH/USDT:USDT,2025-04-16,0.028213,long,2,2025-04-16,0.027648739999999998,SL,0,-2.22,-4.44,-9970.58
AERGO/USDT:USDT,2025-04-19,0.29065,long,2,2025-04-19,0.3051825,TP,0,4.78,9.56,21277.55
BANANAS31/USDT:USDT,2025-06-23,0.007798,long,2,2025-06-23,0.008187900000000001,TP,0,4.78,9.56,21684.38
AVNT/USDT:USDT,2025-09-23,2.0612,long,2,2025-09-23,2.16426,TP,0,4.78,9.56,22098.99
0G/USDT:USDT,2025-09-24,5.8124,long,2,2025-09-24,5.6961520000000005,SL,0,-2.22,-4.44,-10459.78
BLESS/USDT:USDT,2025-09-26,0.04471,short,2,2025-09-26,0.0424745,TP,0,4.78,9.56,22321.53
ALPINE/USDT:USDT,2025-09-28,6.264,long,2,2025-09-28,6.13872,SL,0,-2.22,-4.44,-10565.12
4/USDT:USDT,2025-10-12,0.09651,short,2,2025-10-12,0.09168449999999999,TP,0,4.78,9.56,22546.31
BAS/USDT:USDT,2025-10-15,0.08835,long,2,2025-10-15,0.0927675,TP,0,4.78,9.56,22977.39
BAS/USDT:USDT,2025-10-16,0.07676,long,2,2025-10-16,0.080598,TP,0,4.78,9.56,23416.72
BLESS/USDT:USDT,2025-10-17,0.10595,long,2,2025-10-17,0.103831,SL,0,-2.22,-4.44,-11083.49
AUCTION/USDT:USDT,2025-10-22,7.747,long,2,2025-10-22,8.13435,TP,0,4.78,9.56,23652.53
BAS/USDT:USDT,2025-10-23,0.01218,short,2,2025-10-23,0.011571,TP,0,4.78,9.56,24104.77
B/USDT:USDT,2025-10-31,0.2273,long,2,2025-10-31,0.23866500000000002,TP,0,4.78,9.56,24565.65
ASTER/USDT:USDT,2025-11-04,0.9117,long,2,2025-11-04,0.9572849999999999,TP,0,4.78,9.56,25035.35
4/USDT:USDT,2025-11-07,0.06633,long,2,2025-11-07,0.0696465,TP,0,4.78,9.56,25514.02
ALCH/USDT:USDT,2025-11-12,0.12638,long,2,2025-11-12,0.132699,TP,0,4.78,9.56,26001.85
ALCH/USDT:USDT,2025-11-29,0.11206,short,2,2025-11-29,0.1143012,SL,0,-2.22,-4.44,-12307.07
BSU/USDT:USDT,2025-11-30,0.20316,long,2,2025-11-30,0.1990968,SL,0,-2.22,-4.44,-12197.78
ALCH/USDT:USDT,2025-12-01,0.16283,long,2,2025-12-01,0.1595734,SL,0,-2.22,-4.44,-12089.47
BDXN/USDT:USDT,2025-12-05,0.02773,short,2,2025-12-05,0.0263435,TP,0,4.78,9.56,25799.32
BOBA/USDT:USDT,2025-12-06,0.04928,long,2,2025-12-06,0.048294399999999994,SL,0,-2.22,-4.44,-12211.21
BEAT/USDT:USDT,2025-12-11,1.7101,short,2,2025-12-11,1.744302,SL,0,-2.22,-4.44,-12102.78
