symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
ACS/USDT:USDT,2026-02-08,0.0002035,long,3,2026-02-08,0.000197395,SL,0,-3.22,-9.66,-28980.0
ALLO/USDT:USDT,2026-02-11,0.07624,long,3,2026-02-11,0.0823392,TP,0,7.78,23.34,67990.82
ALLO/USDT:USDT,2026-02-13,0.07682,long,3,2026-02-13,0.0829656,TP,0,7.78,23.34,72751.54
AIXBT/USDT:USDT,2026-02-16,0.02088,long,3,2026-02-18,0.0202536,SL,2,-3.22,-9.66,-32218.87
BAS/USDT:USDT,2026-02-19,0.007027,long,3,2026-02-19,0.00681619,SL,0,-3.22,-9.66,-31285.17
ACS/USDT:USDT,2026-02-24,0.0001802,long,3,2026-02-24,0.000194616,TP,0,7.78,23.34,73399.05
