symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
ARB/USDT:USDT,2024-01-05,2.005,short,2,2024-01-05,1.8846999999999998,TP,0,5.78,11.56,17340.0
ARB/USDT:USDT,2024-01-06,1.9515,short,2,2024-01-06,1.8344099999999999,TP,0,5.78,11.56,17640.68
API3/USDT:USDT,2024-01-22,2.4383,short,2,2024-01-22,2.2920019999999997,TP,0,5.78,11.56,17946.56
API3/USDT:USDT,2024-01-23,2.3592,short,2,2024-01-23,2.2176479999999996,TP,0,5.78,11.56,18257.76
API3/USDT:USDT,2024-01-29,2.8213,short,2,2024-01-29,2.8805472999999995,SL,0,-2.32,-4.64,-7455.45
API3/USDT:USDT,2024-01-31,2.9773,short,2,2024-01-31,2.7986619999999998,TP,0,5.78,11.56,18445.07
1000BTT/USDT:USDT,2024-02-11,0.0010111,short,2,2024-02-11,0.0010323331,SL,0,-2.32,-4.64,-7531.94
AI/USDT:USDT,2024-02-16,1.595,short,2,2024-02-16,1.4992999999999999,TP,0,5.78,11.56,18634.3
AR/USDT:USDT,2024-02-17,11.618,short,2,2024-02-17,11.861977999999999,SL,0,-2.32,-4.64,-7609.21
AGI/USDT:USDT,2024-02-18,0.11062,short,2,2024-02-18,0.11294301999999999,SL,0,-2.32,-4.64,-7556.25
AGI/USDT:USDT,2024-02-19,0.11074,short,2,2024-02-19,0.11306553999999999,SL,0,-2.32,-4.64,-7503.66
AGI/USDT:USDT,2024-02-20,0.15788,short,2,2024-02-20,0.1484072,TP,0,5.78,11.56,18564.34
AGI/USDT:USDT,2024-02-21,0.1568,short,2,2024-02-21,0.147392,TP,0,5.78,11.56,18886.25
AGI/USDT:USDT,2024-02-22,0.17517,short,2,2024-02-22,0.1646598,TP,0,5.78,11.56,19213.73
AGI/USDT:USDT,2024-02-23,0.20604,short,2,2024-02-23,0.19367759999999998,TP,0,5.78,11.56,19546.9
ATA/USDT:USDT,2024-02-24,0.1242,short,2,2024-02-24,0.12680819999999998,SL,0,-2.32,-4.64,-7981.86
ATA/USDT:USDT,2024-02-26,0.1397,short,2,2024-02-26,0.14263369999999997,SL,0,-2.32,-4.64,-7926.31
ATA/USDT:USDT,2024-02-27,0.1497,short,2,2024-02-27,0.1528437,SL,0,-2.32,-4.64,-7871.14
