symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
ACS/USDT:USDT,2025-04-29,0.001478,short,2,2025-04-29,0.0015149499999999997,SL,0,-2.72,-5.44,-8160.0
ALCH/USDT:USDT,2025-05-02,0.1769,short,2,2025-05-02,0.1813225,SL,0,-2.72,-5.44,-8093.41
ASR/USDT:USDT,2025-05-07,1.838,short,2,2025-05-07,1.7461,TP,0,4.78,9.56,14106.93
ALPINE/USDT:USDT,2025-05-09,0.974,short,2,2025-05-09,0.9983499999999998,SL,0,-2.72,-5.44,-8142.48
BMT/USDT:USDT,2025-05-11,0.1114,short,2,2025-05-12,0.10583,TP,1,4.78,9.56,14192.46
B3/USDT:USDT,2025-05-14,0.005695,short,2,2025-05-14,0.005837375,SL,0,-2.72,-5.44,-8191.85
BOBA/USDT:USDT,2025-05-19,0.1024,short,2,2025-05-19,0.09728,TP,0,4.78,9.56,14278.51
BRETT/USDT:USDT,2025-05-21,0.06726,short,2,2025-05-21,0.06894149999999999,SL,0,-2.72,-5.44,-8241.52
ANIME/USDT:USDT,2025-05-22,0.02389,short,2,2025-05-22,0.02448725,SL,0,-2.72,-5.44,-8174.27
AAVE/USDT:USDT,2025-05-23,256.75,short,2,2025-05-23,243.9125,TP,0,4.78,9.56,14247.86
BOBA/USDT:USDT,2025-05-26,0.0997,short,2,2025-05-26,0.10219249999999999,SL,0,-2.72,-5.44,-8223.83
ANIME/USDT:USDT,2025-06-08,0.03283,short,2,2025-06-08,0.031188499999999997,TP,0,4.78,9.56,14334.24
BULLA/USDT:USDT,2025-06-10,0.0673,short,2,2025-06-10,0.06393499999999999,TP,0,4.78,9.56,14539.79
BULLA/USDT:USDT,2025-06-17,0.0827,short,2,2025-06-17,0.08476749999999998,SL,0,-2.72,-5.44,-8392.34
BAN/USDT:USDT,2025-06-26,0.05646,short,2,2025-06-29,0.0578715,SL,3,-2.72,-5.44,-8323.85
1000RATS/USDT:USDT,2025-07-03,0.02002,short,2,2025-07-03,0.020520499999999997,SL,0,-2.72,-5.44,-8255.93
BULLA/USDT:USDT,2025-07-10,0.0591,short,2,2025-07-10,0.056145,TP,0,4.78,9.56,14390.19
BR/USDT:USDT,2025-07-11,0.07154,short,2,2025-07-11,0.0733285,SL,0,-2.72,-5.44,-8305.99
BULLA/USDT:USDT,2025-07-12,0.0601,short,2,2025-07-12,0.0616025,SL,0,-2.72,-5.44,-8238.21
BANANAS31/USDT:USDT,2025-07-14,0.008356,short,2,2025-07-14,0.0085649,SL,0,-2.72,-5.44,-8170.99
BDXN/USDT:USDT,2025-07-23,0.03433,short,2,2025-07-23,0.0326135,TP,0,4.78,9.56,14242.13
AGT/USDT:USDT,2025-07-28,0.00556,short,2,2025-07-28,0.005281999999999999,TP,0,4.78,9.56,14446.37
AGT/USDT:USDT,2025-08-04,0.00498,short,2,2025-08-04,0.004731,TP,0,4.78,9.56,14653.53
BAN/USDT:USDT,2025-08-08,0.05464,short,2,2025-08-09,0.05600599999999999,SL,1,-2.72,-5.44,-8457.98
1000RATS/USDT:USDT,2025-08-11,0.01768,short,2,2025-08-11,0.016796000000000002,TP,0,4.78,9.56,14742.37
AIXBT/USDT:USDT,2025-08-13,0.13396,short,2,2025-08-13,0.137309,SL,0,-2.72,-5.44,-8509.26
ALPINE/USDT:USDT,2025-08-14,1.3971,short,2,2025-08-14,1.327245,TP,0,4.78,9.56,14831.75
ALCH/USDT:USDT,2025-08-23,0.12565,short,2,2025-08-23,0.1193675,TP,0,4.78,9.56,15044.44
BAS/USDT:USDT,2025-09-12,0.02114,short,2,2025-09-12,0.020082999999999997,TP,0,4.78,9.56,15260.18
BLOCK/USDT:USDT,2025-09-17,0.0494,short,2,2025-09-17,0.04693,TP,0,4.78,9.56,15479.01
B/USDT:USDT,2025-09-30,0.2958,short,2,2025-09-30,0.303195,SL,0,-2.72,-5.44,-8934.45
ALPINE/USDT:USDT,2025-10-03,1.4812,short,2,2025-10-03,1.40714,TP,0,4.78,9.56,15572.86
ALPINE/USDT:USDT,2025-10-04,1.4201,short,2,2025-10-04,1.349095,TP,0,4.78,9.56,15796.17
AVNT/USDT:USDT,2025-10-09,0.9144,short,2,2025-10-09,0.8686799999999999,TP,0,4.78,9.56,16022.69
