symbol,entry_date,entry_price,side,leverage,exit_date,exit_price,exit_reason,holding_days,pnl_pct,pnl_leveraged_pct,pnl_amount
BSV/USDT:USDT,2024-01-03,99.2,short,2,2024-01-03,93.24799999999999,TP,0,5.78,11.56,17340.0
BSV/USDT:USDT,2024-01-04,86.6,short,2,2024-01-04,89.198,SL,0,-3.22,-6.44,-9827.5
ARB/USDT:USDT,2024-01-05,2.005,short,2,2024-01-05,1.8846999999999998,TP,0,5.78,11.56,17470.27
ARB/USDT:USDT,2024-01-06,1.9515,short,2,2024-01-06,1.8344099999999999,TP,0,5.78,11.56,17773.2
ARPA/USDT:USDT,2024-01-07,0.0685,short,2,2024-01-07,0.06439,TP,0,5.78,11.56,18081.39
ARPA/USDT:USDT,2024-01-08,0.05979,short,2,2024-01-08,0.0562026,TP,0,5.78,11.56,18394.92
AUCTION/USDT:USDT,2024-01-09,20.88,long,2,2024-01-09,20.2536,SL,0,-3.22,-6.44,-10425.38
BSV/USDT:USDT,2024-01-10,90.45,short,2,2024-01-10,93.1635,SL,0,-3.22,-6.44,-10324.67
AUCTION/USDT:USDT,2024-01-11,24.27,long,2,2024-01-11,25.726200000000002,TP,0,5.78,11.56,18354.08
ARB/USDT:USDT,2024-01-12,2.2591,short,2,2024-01-12,2.123554,TP,0,5.78,11.56,18672.34
ARB/USDT:USDT,2024-01-13,2.2035,short,2,2024-01-14,2.07129,TP,1,5.78,11.56,18996.12
ARB/USDT:USDT,2024-01-15,2.0309,short,2,2024-01-15,2.091827,SL,0,-3.22,-6.44,-10766.12
AUCTION/USDT:USDT,2024-01-16,23.4,long,2,2024-01-16,24.804,TP,0,5.78,11.56,19138.83
ARPA/USDT:USDT,2024-01-17,0.0707,short,2,2024-01-18,0.06645799999999999,TP,1,5.78,11.56,19470.7
AUCTION/USDT:USDT,2024-01-18,25.91,short,2,2024-01-18,24.3554,TP,0,5.78,11.56,16550.09
API3/USDT:USDT,2024-01-22,2.4383,short,2,2024-01-22,2.2920019999999997,TP,0,5.78,11.56,20095.3
API3/USDT:USDT,2024-01-23,2.3592,short,2,2024-01-23,2.2176479999999996,TP,0,5.78,11.56,20443.75
API3/USDT:USDT,2024-01-24,2.1886,short,2,2024-01-24,2.057284,TP,0,5.78,11.56,20798.24
API3/USDT:USDT,2024-01-29,2.8213,short,2,2024-01-29,2.905939,SL,0,-3.22,-6.44,-11787.48
API3/USDT:USDT,2024-01-30,3.2003,short,2,2024-01-30,3.008282,TP,0,5.78,11.56,20954.49
API3/USDT:USDT,2024-01-31,2.9773,short,2,2024-01-31,2.7986619999999998,TP,0,5.78,11.56,21317.84
API3/USDT:USDT,2024-02-01,2.6663,short,2,2024-02-01,2.746289,SL,0,-3.22,-6.44,-12081.96
API3/USDT:USDT,2024-02-02,2.6559,short,2,2024-02-02,2.735577,SL,0,-3.22,-6.44,-11965.25
API3/USDT:USDT,2024-02-03,3.305,short,2,2024-02-03,3.4041500000000005,SL,0,-3.22,-6.44,-11849.66
API3/USDT:USDT,2024-02-04,3.2252,short,2,2024-02-04,3.321956,SL,0,-3.22,-6.44,-11735.2
API3/USDT:USDT,2024-02-05,3.1525,short,2,2024-02-05,2.9633499999999997,TP,0,5.78,11.56,20861.55
API3/USDT:USDT,2024-02-06,3.0093,short,2,2024-02-06,3.0995790000000003,SL,0,-3.22,-6.44,-11823.36
API3/USDT:USDT,2024-02-07,2.9383,short,2,2024-02-07,3.026449,SL,0,-3.22,-6.44,-11709.14
1000BTT/USDT:USDT,2024-02-10,0.0010471,short,2,2024-02-10,0.000984274,TP,0,5.78,11.56,20815.24
1000BTT/USDT:USDT,2024-02-11,0.0010111,short,2,2024-02-11,0.001041433,SL,0,-3.22,-6.44,-11797.11
1000BONK/USDT:USDT,2024-02-12,0.012366,short,2,2024-02-12,0.01273698,SL,0,-3.22,-6.44,-11683.15
BIGTIME/USDT:USDT,2024-02-13,0.4154,short,2,2024-02-13,0.390476,TP,0,5.78,11.56,20769.03
BIGTIME/USDT:USDT,2024-02-14,0.4124,short,2,2024-02-14,0.424772,SL,0,-3.22,-6.44,-11770.92
AI/USDT:USDT,2024-02-15,1.66,short,2,2024-02-15,1.5603999999999998,TP,0,5.78,11.56,20925.05
AI/USDT:USDT,2024-02-16,1.595,short,2,2024-02-16,1.4992999999999999,TP,0,5.78,11.56,21287.89
AR/USDT:USDT,2024-02-17,11.618,short,2,2024-02-17,11.96654,SL,0,-3.22,-6.44,-12064.99
AGI/USDT:USDT,2024-02-18,0.11062,short,2,2024-02-18,0.1139386,SL,0,-3.22,-6.44,-11948.44
AGI/USDT:USDT,2024-02-19,0.11074,short,2,2024-02-19,0.1140622,SL,0,-3.22,-6.44,-11833.02
AGI/USDT:USDT,2024-02-20,0.15788,short,2,2024-02-20,0.1484072,TP,0,5.78,11.56,21035.45
AGI/USDT:USDT,2024-02-21,0.1568,short,2,2024-02-21,0.147392,TP,0,5.78,11.56,21400.2
AGI/USDT:USDT,2024-02-22,0.17517,short,2,2024-02-22,0.1646598,TP,0,5.78,11.56,21771.28
AGI/USDT:USDT,2024-02-23,0.20604,short,2,2024-02-23,0.19367759999999998,TP,0,5.78,11.56,22148.8
AGI/USDT:USDT,2024-02-24,0.20469,short,2,2024-02-24,0.1924086,TP,0,5.78,11.56,22532.86
AGI/USDT:USDT,2024-02-25,0.2495,short,2,2024-02-25,0.256985,SL,0,-3.22,-6.44,-12770.57
AGI/USDT:USDT,2024-02-26,0.27221,short,2,2024-02-26,0.2803763,SL,0,-3.22,-6.44,-12647.21
AGI/USDT:USDT,2024-02-27,0.26771,short,2,2024-02-27,0.25164739999999997,TP,0,5.78,11.56,22482.83
ALICE/USDT:USDT,2024-02-28,1.795,short,2,2024-02-28,1.6872999999999998,TP,0,5.78,11.56,22872.68
AR/USDT:USDT,2024-03-01,26.748,short,2,2024-03-01,27.550440000000002,SL,0,-3.22,-6.44,-12963.17
AR/USDT:USDT,2024-03-02,26.861,short,2,2024-03-02,25.24934,TP,0,5.78,11.56,23044.52
1000BONK/USDT:USDT,2024-03-03,0.024445,short,2,2024-03-03,0.0229783,TP,0,5.78,11.56,23444.11
1000BONK/USDT:USDT,2024-03-07,0.029991,short,2,2024-03-07,0.028191539999999998,TP,0,5.78,11.56,23850.63
AGI/USDT:USDT,2024-03-11,0.57499,short,2,2024-03-11,0.5404905999999999,TP,0,5.78,11.56,24264.2
BOBA/USDT:USDT,2024-03-18,1.1096,short,2,2024-03-18,1.043024,TP,0,5.78,11.56,24684.94
BOBA/USDT:USDT,2024-03-19,0.8593,short,2,2024-03-19,0.807742,TP,0,5.78,11.56,25112.98
BOBA/USDT:USDT,2024-03-20,0.6289,short,2,2024-03-20,0.591166,TP,0,5.78,11.56,25548.44
1000RATS/USDT:USDT,2024-03-21,0.26771,long,2,2024-03-21,0.2596787,SL,0,-3.22,-6.44,-14479.66
1000RATS/USDT:USDT,2024-03-25,0.27242,long,2,2024-03-25,0.26424739999999997,SL,0,-3.22,-6.44,-14339.79
BIGTIME/USDT:USDT,2024-03-26,0.3778,long,2,2024-03-26,0.40046800000000005,TP,0,5.78,11.56,25491.72
1000RATS/USDT:USDT,2024-03-29,0.25872,long,2,2024-03-29,0.2742432,TP,0,5.78,11.56,25933.74
ALT/USDT:USDT,2024-03-30,0.60688,short,2,2024-03-30,0.6250864,SL,0,-3.22,-6.44,-14698.04
BOBA/USDT:USDT,2024-04-01,0.6117,long,2,2024-04-01,0.593349,SL,0,-3.22,-6.44,-14556.05
ANKR/USDT:USDT,2024-04-02,0.06749,short,2,2024-04-02,0.06344059999999999,TP,0,5.78,11.56,25876.17
ANKR/USDT:USDT,2024-04-03,0.0558,short,2,2024-04-03,0.052452,TP,0,5.78,11.56,26324.86
BICO/USDT:USDT,2024-04-04,0.8145,short,2,2024-04-04,0.7656299999999999,TP,0,5.78,11.56,26781.33
BICO/USDT:USDT,2024-04-05,0.7235,short,2,2024-04-05,0.68009,TP,0,5.78,11.56,27245.72
ATA/USDT:USDT,2024-04-06,0.1913,short,2,2024-04-07,0.197039,SL,1,-3.22,-6.44,-15441.61
AGI/USDT:USDT,2024-04-07,0.33239,long,2,2024-04-08,0.3523334,TP,1,5.78,11.56,23560.44
BICO/USDT:USDT,2024-04-08,0.9318,short,2,2024-04-08,0.8758919999999999,TP,0,5.78,11.56,23916.34
BICO/USDT:USDT,2024-04-09,0.8016,short,2,2024-04-10,0.753504,TP,1,5.78,11.56,28273.65
AXL/USDT:USDT,2024-04-11,1.3777,long,2,2024-04-11,1.460362,TP,0,5.78,11.56,28763.92
ATA/USDT:USDT,2024-04-13,0.2277,short,2,2024-04-13,0.214038,TP,0,5.78,11.56,29262.68
ATA/USDT:USDT,2024-04-14,0.1595,short,2,2024-04-14,0.14993,TP,0,5.78,11.56,29770.1
AGI/USDT:USDT,2024-04-15,0.27955,long,2,2024-04-15,0.2711635,SL,0,-3.22,-6.44,-16872.31
1000RATS/USDT:USDT,2024-04-19,0.13,long,2,2024-04-19,0.1378,TP,0,5.78,11.56,29993.75
1000RATS/USDT:USDT,2024-04-21,0.17206,long,2,2024-04-21,0.1668982,SL,0,-3.22,-6.44,-16999.06
AEVO/USDT:USDT,2024-04-23,1.822,long,2,2024-04-23,1.76734,SL,0,-3.22,-6.44,-16834.85
AR/USDT:USDT,2024-04-24,33.436,short,2,2024-04-24,34.439080000000004,SL,0,-3.22,-6.44,-16672.22
1000BONK/USDT:USDT,2024-04-25,0.024499,short,2,2024-04-25,0.023029059999999997,TP,0,5.78,11.56,29638.06
ATA/USDT:USDT,2024-04-26,0.2306,short,2,2024-04-26,0.21676399999999998,TP,0,5.78,11.56,30151.99
1000BONK/USDT:USDT,2024-04-27,0.025497,short,2,2024-04-27,0.023967179999999998,TP,0,5.78,11.56,30674.82
1000BONK/USDT:USDT,2024-04-28,0.024488,short,2,2024-04-28,0.02522264,SL,0,-3.22,-6.44,-17385.06
1000BONK/USDT:USDT,2024-04-29,0.025097,short,2,2024-04-30,0.02359118,TP,1,5.78,11.56,30905.27
ATA/USDT:USDT,2024-04-30,0.2374,short,2,2024-04-30,0.223156,TP,0,5.78,11.56,26269.48
ATA/USDT:USDT,2024-05-01,0.2067,short,2,2024-05-01,0.19429799999999997,TP,0,5.78,11.56,31896.68
1000BONK/USDT:USDT,2024-05-05,0.027507,short,2,2024-05-06,0.025856579999999997,TP,1,5.78,11.56,32449.76
AI/USDT:USDT,2024-05-07,1.158,short,2,2024-05-07,1.19274,SL,0,-3.22,-6.44,-18391.01
AI/USDT:USDT,2024-05-08,1.096,short,2,2024-05-08,1.03024,TP,0,5.78,11.56,32693.54
1000RATS/USDT:USDT,2024-05-10,0.11874,long,2,2024-05-10,0.1151778,SL,0,-3.22,-6.44,-18529.18
AR/USDT:USDT,2024-05-11,41.502,short,2,2024-05-12,42.747060000000005,SL,1,-3.22,-6.44,-18350.19
ATA/USDT:USDT,2024-05-13,0.1652,long,2,2024-05-13,0.160244,SL,0,-3.22,-6.44,-18172.92
ATA/USDT:USDT,2024-05-14,0.1643,long,2,2024-05-14,0.15937099999999998,SL,0,-3.22,-6.44,-17997.37
AEVO/USDT:USDT,2024-05-16,0.802,long,2,2024-05-16,0.8501200000000001,TP,0,5.78,11.56,31993.77
AR/USDT:USDT,2024-05-17,44.311,short,2,2024-05-17,45.64033,SL,0,-3.22,-6.44,-18132.58
AEVO/USDT:USDT,2024-05-18,0.819,long,2,2024-05-19,0.79443,SL,1,-3.22,-6.44,-17957.42
BICO/USDT:USDT,2024-05-19,0.5316,short,2,2024-05-20,0.5475479999999999,SL,1,-3.22,-6.44,-15263.8
AEVO/USDT:USDT,2024-05-21,0.865,long,2,2024-05-21,0.9169,TP,0,5.78,11.56,31658.06
1000BONK/USDT:USDT,2024-05-22,0.032929,short,2,2024-05-22,0.03391687,SL,0,-3.22,-6.44,-17942.32
1000BONK/USDT:USDT,2024-05-23,0.032405,short,2,2024-05-23,0.03337715,SL,0,-3.22,-6.44,-17768.99
1000BONK/USDT:USDT,2024-05-24,0.035214,short,2,2024-05-24,0.03310116,TP,0,5.78,11.56,31587.78
AUDIO/USDT:USDT,2024-05-25,0.2299,short,2,2024-05-25,0.216106,TP,0,5.78,11.56,32135.51
AUDIO/USDT:USDT,2024-05-26,0.2187,short,2,2024-05-26,0.20557799999999998,TP,0,5.78,11.56,32692.74
AUDIO/USDT:USDT,2024-05-27,0.2062,short,2,2024-05-27,0.212386,SL,0,-3.22,-6.44,-18528.72
BRETT/USDT:USDT,2024-05-28,0.0712,short,2,2024-05-28,0.073336,SL,0,-3.22,-6.44,-18349.74
BRETT/USDT:USDT,2024-05-29,0.0774,short,2,2024-05-29,0.079722,SL,0,-3.22,-6.44,-18172.48
BRETT/USDT:USDT,2024-05-30,0.0893,short,2,2024-05-30,0.083942,TP,0,5.78,11.56,32305.05
AUCTION/USDT:USDT,2024-05-31,22.84,short,2,2024-05-31,23.5252,SL,0,-3.22,-6.44,-18309.0
AUCTION/USDT:USDT,2024-06-01,24.38,short,2,2024-06-01,25.1114,SL,0,-3.22,-6.44,-18132.13
ALICE/USDT:USDT,2024-06-02,1.56,short,2,2024-06-02,1.6068,SL,0,-3.22,-6.44,-17956.98
ALICE/USDT:USDT,2024-06-03,1.658,short,2,2024-06-03,1.70774,SL,0,-3.22,-6.44,-17783.51
ALICE/USDT:USDT,2024-06-04,2.354,short,2,2024-06-04,2.21276,TP,0,5.78,11.56,31613.59
ALICE/USDT:USDT,2024-06-05,2.176,short,2,2024-06-05,2.24128,SL,0,-3.22,-6.44,-17917.11
ALICE/USDT:USDT,2024-06-06,2.183,short,2,2024-06-06,2.0520199999999997,TP,0,5.78,11.56,31851.09
ALICE/USDT:USDT,2024-06-07,2.079,short,2,2024-06-07,1.95426,TP,0,5.78,11.56,32403.39
BRETT/USDT:USDT,2024-06-08,0.1709,short,2,2024-06-08,0.16064599999999998,TP,0,5.78,11.56,32965.26
BRETT/USDT:USDT,2024-06-09,0.1549,short,2,2024-06-09,0.15954700000000002,SL,0,-3.22,-6.44,-18683.18
BRETT/USDT:USDT,2024-06-10,0.1819,short,2,2024-06-10,0.170986,TP,0,5.78,11.56,33212.91
BICO/USDT:USDT,2024-06-11,0.5534,short,2,2024-06-11,0.570002,SL,0,-3.22,-6.44,-18823.53
BRETT/USDT:USDT,2024-06-12,0.1544,short,2,2024-06-12,0.145136,TP,0,5.78,11.56,33462.43
