,surge,meanrevert,meanrevert_tight,meanrevert_hybrid,meanrevert_adaptive,weakshort,sniper,scalp,alpha
surge,1.0,-0.04924817618940776,-0.04368975358860312,-0.0518754844511217,-0.04924817618940776,-0.028046679683220388,0.046509928875851696,0.008883243589743964,-0.006267108823943394
meanrevert,-0.04924817618940776,1.0,0.5649340911762205,0.8885430346620246,1.0,0.1713752548984269,-0.011937171355269838,0.28993701877060035,-0.01307998226475832
meanrevert_tight,-0.04368975358860312,0.5649340911762205,1.0,0.5700652465773549,0.5649340911762205,0.12109903317046432,-0.010589875918467861,0.38151718631835324,-0.01160370284358875
meanrevert_hybrid,-0.0518754844511217,0.8885430346620246,0.5700652465773549,1.0,0.8885430346620246,0.16232571881659985,-0.0125739995862804,0.2981624061717871,-0.01377777755640735
meanrevert_adaptive,-0.04924817618940776,1.0,0.5649340911762205,0.8885430346620246,1.0,0.1713752548984269,-0.011937171355269838,0.28993701877060035,-0.01307998226475832
weakshort,-0.028046679683220388,0.1713752548984269,0.12109903317046432,0.16232571881659985,0.1713752548984269,1.0,-0.00679818111512067,0.04194253470040232,-0.007449008292834641
sniper,0.046509928875851696,-0.011937171355269838,-0.010589875918467861,-0.0125739995862804,-0.011937171355269838,-0.00679818111512067,1.0,0.013408200100875617,0.0011486216897797746
scalp,0.008883243589743964,0.28993701877060035,0.38151718631835324,0.2981624061717871,0.28993701877060035,0.04194253470040232,0.013408200100875617,1.0,0.0075589684151808395
alpha,-0.006267108823943394,-0.01307998226475832,-0.01160370284358875,-0.01377777755640735,-0.01307998226475832,-0.007449008292834641,0.0011486216897797746,0.0075589684151808395,1.0
