Variant,FR_thr,TP,SL,Leverage,PF,Return,MDD,WR,Sharpe,Trades
scalp,0.05,8.0,2.0,10,2.8,15726.5,-44.9,47.5,1.59,1868
scalp,0.05,8.0,3.0,3,2.29,1636.4,-15.4,50.2,1.74,1868
scalp,0.05,8.0,3.0,5,2.24,4804.5,-23.8,50.2,1.78,1868
scalp,0.05,8.0,3.0,10,2.15,12727.3,-46.7,50.2,1.51,1868
scalp,0.08,1.5,0.8,3,2.93,171.0,-21.1,70.6,0.69,1868
scalp,0.08,1.5,0.8,5,2.93,426.0,-33.4,70.6,0.78,1868
scalp,0.08,1.5,0.8,10,3.0,2405.5,-45.8,70.6,1.01,1868
scalp,0.08,1.5,1.0,3,2.47,145.5,-21.4,70.6,0.64,1868
scalp,0.08,1.5,1.0,5,2.48,346.2,-33.8,70.6,0.73,1868
scalp,0.08,1.5,1.0,10,2.51,1854.7,-55.2,70.6,0.96,1868
scalp,0.08,1.5,1.5,3,1.77,92.4,-22.2,70.6,0.51,1868
scalp,0.08,1.5,1.5,5,1.78,197.2,-34.9,70.6,0.6,1868
scalp,0.08,1.5,1.5,10,1.8,775.0,-61.6,70.6,0.84,1868
scalp,0.08,1.5,2.0,3,1.38,51.1,-23.0,70.6,0.37,1868
scalp,0.08,1.5,2.0,5,1.39,98.4,-36.0,70.6,0.47,1868
scalp,0.08,1.5,2.0,10,1.4,289.1,-62.9,70.6,0.72,1868
scalp,0.08,1.5,3.0,3,0.97,-4.6,-24.3,70.6,0.12,1868
scalp,0.08,1.5,3.0,5,0.97,-7.8,-37.8,70.6,0.22,1868
scalp,0.08,1.5,3.0,10,0.96,-16.6,-65.6,70.6,0.49,1868
scalp,0.08,2.0,0.8,3,3.73,344.7,-18.8,68.5,0.96,1868
scalp,0.08,2.0,0.8,5,3.74,1100.0,-30.1,68.5,1.05,1868
scalp,0.08,2.0,0.8,10,3.8,5158.9,-45.7,68.5,1.17,1868
scalp,0.08,2.0,1.0,3,3.14,300.2,-19.1,68.5,0.91,1868
scalp,0.08,2.0,1.0,5,3.17,906.5,-30.5,68.5,0.99,1868
scalp,0.08,2.0,1.0,10,3.22,4570.9,-45.7,68.5,1.14,1868
scalp,0.08,2.0,1.5,3,2.26,208.6,-19.9,68.5,0.77,1868
scalp,0.08,2.0,1.5,5,2.28,552.2,-31.7,68.5,0.86,1868
scalp,0.08,2.0,1.5,10,2.36,3117.6,-45.7,68.5,1.06,1868
scalp,0.08,2.0,2.0,3,1.77,139.5,-20.7,68.6,0.63,1868
scalp,0.08,2.0,2.0,5,1.78,327.4,-32.8,68.6,0.72,1868
scalp,0.08,2.0,2.0,10,1.83,1695.9,-56.8,68.6,0.95,1868
scalp,0.08,2.0,3.0,3,1.25,48.9,-22.0,68.8,0.37,1868
scalp,0.08,2.0,3.0,5,1.26,93.3,-34.7,68.8,0.46,1868
scalp,0.08,2.0,3.0,10,1.27,265.2,-61.4,68.8,0.71,1868
scalp,0.08,3.0,0.8,3,4.75,914.1,-16.1,63.5,1.42,1868
scalp,0.08,3.0,0.8,5,4.86,3310.5,-23.0,63.5,1.54,1868
scalp,0.08,3.0,0.8,10,4.59,9744.2,-45.5,63.5,1.4,1868
scalp,0.08,3.0,1.0,3,4.03,800.7,-16.1,63.7,1.36,1868
scalp,0.08,3.0,1.0,5,4.14,2980.0,-23.0,63.7,1.48,1868
scalp,0.08,3.0,1.0,10,3.87,9083.3,-45.5,63.7,1.37,1868
scalp,0.08,3.0,1.5,3,2.91,572.2,-16.1,63.8,1.2,1868
scalp,0.08,3.0,1.5,5,2.99,2164.7,-23.0,63.8,1.3,1868
scalp,0.08,3.0,1.5,10,2.83,7449.7,-45.5,63.8,1.29,1868
scalp,0.08,3.0,2.0,3,2.28,404.9,-16.7,64.0,1.04,1868
scalp,0.08,3.0,2.0,5,2.33,1377.7,-27.0,64.0,1.12,1868
scalp,0.08,3.0,2.0,10,2.29,5848.2,-45.5,64.0,1.21,1868
scalp,0.08,3.0,3.0,3,1.63,199.3,-18.2,64.5,0.76,1868
scalp,0.08,3.0,3.0,5,1.66,517.3,-29.3,64.5,0.84,1868
scalp,0.08,3.0,3.0,10,1.71,2907.2,-46.0,64.5,1.05,1868
scalp,0.08,5.0,0.8,3,5.44,2468.7,-13.7,53.3,2.06,1868
scalp,0.08,5.0,0.8,5,5.2,6195.6,-22.8,53.3,2.0,1868
scalp,0.08,5.0,0.8,10,5.13,15514.4,-45.2,53.3,1.58,1868
scalp,0.08,5.0,1.0,3,4.61,2222.5,-13.7,53.6,1.97,1868
scalp,0.08,5.0,1.0,5,4.43,5785.2,-22.8,53.6,1.93,1868
scalp,0.08,5.0,1.0,10,4.32,14694.3,-45.2,53.6,1.56,1868
scalp,0.08,5.0,1.5,3,3.35,1649.2,-15.7,54.3,1.74,1868
scalp,0.08,5.0,1.5,5,3.29,4828.9,-22.8,54.3,1.78,1868
scalp,0.08,5.0,1.5,10,3.17,12782.5,-45.2,54.3,1.5,1868
scalp,0.08,5.0,2.0,3,2.65,1152.9,-15.8,54.9,1.55,1868
scalp,0.08,5.0,2.0,5,2.65,3895.2,-23.1,54.9,1.65,1868
scalp,0.08,5.0,2.0,10,2.53,10914.9,-45.7,54.9,1.45,1868
scalp,0.08,5.0,3.0,3,1.96,607.8,-15.8,56.3,1.24,1868
scalp,0.08,5.0,3.0,5,2.01,2297.2,-24.2,56.3,1.34,1868
scalp,0.08,5.0,3.0,10,1.92,7704.4,-47.3,56.3,1.3,1868
scalp,0.08,8.0,0.8,3,5.75,4022.4,-13.5,44.9,2.6,1868
scalp,0.08,8.0,0.8,5,5.48,8785.6,-22.4,44.9,2.34,1868
scalp,0.08,8.0,0.8,10,5.55,20692.6,-44.7,44.9,1.76,1868
scalp,0.08,8.0,1.0,3,4.87,3729.4,-13.5,45.1,2.51,1868
scalp,0.08,8.0,1.0,5,4.63,8296.8,-22.4,45.1,2.28,1868
scalp,0.08,8.0,1.0,10,4.67,19716.1,-44.7,45.1,1.72,1868
scalp,0.08,8.0,1.5,3,3.67,3137.3,-13.5,46.4,2.32,1868
scalp,0.08,8.0,1.5,5,3.49,7309.1,-22.4,46.4,2.15,1868
scalp,0.08,8.0,1.5,10,3.48,17739.7,-44.7,46.4,1.64,1868
scalp,0.08,8.0,2.0,3,2.96,2533.7,-13.5,47.5,2.09,1868
scalp,0.08,8.0,2.0,5,2.86,6301.5,-22.5,47.5,2.0,1868
scalp,0.08,8.0,2.0,10,2.8,15726.5,-44.9,47.5,1.59,1868
scalp,0.08,8.0,3.0,3,2.29,1636.4,-15.4,50.2,1.74,1868
scalp,0.08,8.0,3.0,5,2.24,4804.5,-23.8,50.2,1.78,1868
scalp,0.08,8.0,3.0,10,2.15,12727.3,-46.7,50.2,1.51,1868
scalp,0.1,1.5,0.8,3,2.94,169.0,-21.1,70.6,0.69,1851
scalp,0.1,1.5,0.8,5,2.94,419.7,-33.4,70.6,0.78,1851
scalp,0.1,1.5,0.8,10,3.0,2365.8,-45.8,70.6,1.01,1851
scalp,0.1,1.5,1.0,3,2.47,144.1,-21.4,70.6,0.64,1851
scalp,0.1,1.5,1.0,5,2.48,341.8,-33.8,70.6,0.73,1851
scalp,0.1,1.5,1.0,10,2.51,1821.0,-55.7,70.6,0.96,1851
scalp,0.1,1.5,1.5,3,1.78,91.8,-22.2,70.6,0.5,1851
scalp,0.1,1.5,1.5,5,1.78,195.5,-34.9,70.6,0.6,1851
scalp,0.1,1.5,1.5,10,1.8,765.3,-61.6,70.6,0.84,1851
scalp,0.1,1.5,2.0,3,1.38,51.0,-23.0,70.6,0.37,1851
scalp,0.1,1.5,2.0,5,1.39,98.2,-36.0,70.6,0.47,1851
scalp,0.1,1.5,2.0,10,1.4,288.3,-62.9,70.6,0.72,1851
scalp,0.1,1.5,3.0,3,0.97,-4.1,-24.3,70.7,0.12,1851
scalp,0.1,1.5,3.0,5,0.97,-7.1,-37.8,70.7,0.22,1851
scalp,0.1,1.5,3.0,10,0.97,-15.2,-64.9,70.7,0.49,1851
scalp,0.1,2.0,0.8,3,3.73,339.4,-18.8,68.6,0.96,1851
scalp,0.1,2.0,0.8,5,3.74,1076.0,-30.1,68.6,1.04,1851
scalp,0.1,2.0,0.8,10,3.81,5091.6,-45.7,68.6,1.17,1851
scalp,0.1,2.0,1.0,3,3.15,295.8,-19.1,68.6,0.9,1851
scalp,0.1,2.0,1.0,5,3.17,888.2,-30.5,68.6,0.99,1851
scalp,0.1,2.0,1.0,10,3.22,4509.5,-45.7,68.6,1.14,1851
scalp,0.1,2.0,1.5,3,2.26,206.0,-19.9,68.6,0.76,1851
scalp,0.1,2.0,1.5,5,2.29,543.3,-31.7,68.6,0.85,1851
scalp,0.1,2.0,1.5,10,2.36,3071.5,-45.7,68.6,1.06,1851
scalp,0.1,2.0,2.0,3,1.77,138.2,-20.7,68.7,0.63,1851
scalp,0.1,2.0,2.0,5,1.79,323.4,-32.8,68.7,0.72,1851
scalp,0.1,2.0,2.0,10,1.83,1665.0,-57.5,68.7,0.94,1851
scalp,0.1,2.0,3.0,3,1.25,48.9,-22.0,68.9,0.37,1851
scalp,0.1,2.0,3.0,5,1.26,93.3,-34.7,68.9,0.46,1851
scalp,0.1,2.0,3.0,10,1.27,265.1,-61.4,68.9,0.7,1851
scalp,0.1,3.0,0.8,3,4.75,892.1,-16.1,63.5,1.41,1851
scalp,0.1,3.0,0.8,5,4.87,3249.3,-23.0,63.5,1.53,1851
scalp,0.1,3.0,0.8,10,4.58,9621.8,-45.5,63.5,1.39,1851
scalp,0.1,3.0,1.0,3,4.03,782.1,-16.1,63.6,1.35,1851
scalp,0.1,3.0,1.0,5,4.14,2921.9,-23.0,63.6,1.46,1851
scalp,0.1,3.0,1.0,10,3.86,8967.1,-45.5,63.6,1.37,1851
scalp,0.1,3.0,1.5,3,2.91,560.1,-16.1,63.8,1.19,1851
scalp,0.1,3.0,1.5,5,2.99,2114.0,-23.0,63.8,1.29,1851
scalp,0.1,3.0,1.5,10,2.83,7348.5,-45.5,63.8,1.29,1851
scalp,0.1,3.0,2.0,3,2.28,397.2,-16.7,64.0,1.03,1851
scalp,0.1,3.0,2.0,5,2.33,1340.1,-27.0,64.0,1.12,1851
scalp,0.1,3.0,2.0,10,2.29,5762.3,-45.5,64.0,1.2,1851
scalp,0.1,3.0,3.0,3,1.63,196.3,-18.2,64.5,0.75,1851
scalp,0.1,3.0,3.0,5,1.66,507.0,-29.3,64.5,0.84,1851
scalp,0.1,3.0,3.0,10,1.72,2851.5,-46.0,64.5,1.04,1851
scalp,0.1,5.0,0.8,3,5.45,2425.1,-13.7,53.4,2.05,1851
scalp,0.1,5.0,0.8,5,5.21,6122.9,-22.8,53.4,1.99,1851
scalp,0.1,5.0,0.8,10,5.12,15369.3,-45.2,53.4,1.57,1851
scalp,0.1,5.0,1.0,3,4.61,2181.7,-13.7,53.6,1.95,1851
scalp,0.1,5.0,1.0,5,4.44,5717.1,-22.8,53.6,1.92,1851
scalp,0.1,5.0,1.0,10,4.32,14558.2,-45.2,53.6,1.55,1851
scalp,0.1,5.0,1.5,3,3.36,1615.1,-15.8,54.3,1.73,1851
scalp,0.1,5.0,1.5,5,3.3,4772.1,-22.8,54.3,1.78,1851
scalp,0.1,5.0,1.5,10,3.17,12668.6,-45.2,54.3,1.5,1851
scalp,0.1,5.0,2.0,3,2.66,1132.6,-15.8,55.0,1.54,1851
scalp,0.1,5.0,2.0,5,2.66,3849.5,-23.1,55.0,1.64,1851
scalp,0.1,5.0,2.0,10,2.53,10824.2,-45.7,55.0,1.45,1851
scalp,0.1,5.0,3.0,3,1.97,601.2,-15.8,56.4,1.23,1851
scalp,0.1,5.0,3.0,5,2.02,2270.9,-24.2,56.4,1.33,1851
scalp,0.1,5.0,3.0,10,1.92,7649.8,-47.3,56.4,1.3,1851
scalp,0.1,8.0,0.8,3,5.76,3949.2,-13.5,44.8,2.58,1851
scalp,0.1,8.0,0.8,5,5.48,8663.6,-22.4,44.8,2.33,1851
scalp,0.1,8.0,0.8,10,5.53,20448.4,-44.7,44.8,1.75,1851
scalp,0.1,8.0,1.0,3,4.89,3658.9,-13.5,45.1,2.5,1851
scalp,0.1,8.0,1.0,5,4.64,8179.3,-22.4,45.1,2.26,1851
scalp,0.1,8.0,1.0,10,4.66,19481.5,-44.7,45.1,1.72,1851
scalp,0.1,8.0,1.5,3,3.68,3073.6,-13.5,46.4,2.3,1851
scalp,0.1,8.0,1.5,5,3.5,7202.8,-22.4,46.4,2.14,1851
scalp,0.1,8.0,1.5,10,3.47,17527.2,-44.7,46.4,1.64,1851
scalp,0.1,8.0,2.0,3,2.96,2476.8,-13.5,47.5,2.07,1851
scalp,0.1,8.0,2.0,5,2.86,6206.8,-22.5,47.5,1.98,1851
scalp,0.1,8.0,2.0,10,2.79,15537.7,-44.9,47.5,1.59,1851
scalp,0.1,8.0,3.0,3,2.29,1591.1,-15.4,50.2,1.73,1851
scalp,0.1,8.0,3.0,5,2.24,4728.5,-23.8,50.2,1.77,1851
scalp,0.1,8.0,3.0,10,2.15,12576.9,-46.7,50.2,1.5,1851
scalp,0.15,1.5,0.8,3,2.94,169.0,-21.1,70.6,0.69,1851
scalp,0.15,1.5,0.8,5,2.94,419.7,-33.4,70.6,0.78,1851
scalp,0.15,1.5,0.8,10,3.0,2365.8,-45.8,70.6,1.01,1851
scalp,0.15,1.5,1.0,3,2.47,144.1,-21.4,70.6,0.64,1851
scalp,0.15,1.5,1.0,5,2.48,341.8,-33.8,70.6,0.73,1851
scalp,0.15,1.5,1.0,10,2.51,1821.0,-55.7,70.6,0.96,1851
scalp,0.15,1.5,1.5,3,1.78,91.8,-22.2,70.6,0.5,1851
scalp,0.15,1.5,1.5,5,1.78,195.5,-34.9,70.6,0.6,1851
scalp,0.15,1.5,1.5,10,1.8,765.3,-61.6,70.6,0.84,1851
scalp,0.15,1.5,2.0,3,1.38,51.0,-23.0,70.6,0.37,1851
scalp,0.15,1.5,2.0,5,1.39,98.2,-36.0,70.6,0.47,1851
scalp,0.15,1.5,2.0,10,1.4,288.3,-62.9,70.6,0.72,1851
scalp,0.15,1.5,3.0,3,0.97,-4.1,-24.3,70.7,0.12,1851
scalp,0.15,1.5,3.0,5,0.97,-7.1,-37.8,70.7,0.22,1851
scalp,0.15,1.5,3.0,10,0.97,-15.2,-64.9,70.7,0.49,1851
scalp,0.15,2.0,0.8,3,3.73,339.4,-18.8,68.6,0.96,1851
scalp,0.15,2.0,0.8,5,3.74,1076.0,-30.1,68.6,1.04,1851
scalp,0.15,2.0,0.8,10,3.81,5091.6,-45.7,68.6,1.17,1851
scalp,0.15,2.0,1.0,3,3.15,295.8,-19.1,68.6,0.9,1851
scalp,0.15,2.0,1.0,5,3.17,888.2,-30.5,68.6,0.99,1851
scalp,0.15,2.0,1.0,10,3.22,4509.5,-45.7,68.6,1.14,1851
scalp,0.15,2.0,1.5,3,2.26,206.0,-19.9,68.6,0.76,1851
scalp,0.15,2.0,1.5,5,2.29,543.3,-31.7,68.6,0.85,1851
scalp,0.15,2.0,1.5,10,2.36,3071.5,-45.7,68.6,1.06,1851
scalp,0.15,2.0,2.0,3,1.77,138.2,-20.7,68.7,0.63,1851
scalp,0.15,2.0,2.0,5,1.79,323.4,-32.8,68.7,0.72,1851
scalp,0.15,2.0,2.0,10,1.83,1665.0,-57.5,68.7,0.94,1851
scalp,0.15,2.0,3.0,3,1.25,48.9,-22.0,68.9,0.37,1851
scalp,0.15,2.0,3.0,5,1.26,93.3,-34.7,68.9,0.46,1851
scalp,0.15,2.0,3.0,10,1.27,265.1,-61.4,68.9,0.7,1851
scalp,0.15,3.0,0.8,3,4.75,892.1,-16.1,63.5,1.41,1851
scalp,0.15,3.0,0.8,5,4.87,3249.3,-23.0,63.5,1.53,1851
scalp,0.15,3.0,0.8,10,4.58,9621.8,-45.5,63.5,1.39,1851
scalp,0.15,3.0,1.0,3,4.03,782.1,-16.1,63.6,1.35,1851
scalp,0.15,3.0,1.0,5,4.14,2921.9,-23.0,63.6,1.46,1851
scalp,0.15,3.0,1.0,10,3.86,8967.1,-45.5,63.6,1.37,1851
scalp,0.15,3.0,1.5,3,2.91,560.1,-16.1,63.8,1.19,1851
scalp,0.15,3.0,1.5,5,2.99,2114.0,-23.0,63.8,1.29,1851
scalp,0.15,3.0,1.5,10,2.83,7348.5,-45.5,63.8,1.29,1851
scalp,0.15,3.0,2.0,3,2.28,397.2,-16.7,64.0,1.03,1851
scalp,0.15,3.0,2.0,5,2.33,1340.1,-27.0,64.0,1.12,1851
scalp,0.15,3.0,2.0,10,2.29,5762.3,-45.5,64.0,1.2,1851
scalp,0.15,3.0,3.0,3,1.63,196.3,-18.2,64.5,0.75,1851
scalp,0.15,3.0,3.0,5,1.66,507.0,-29.3,64.5,0.84,1851
scalp,0.15,3.0,3.0,10,1.72,2851.5,-46.0,64.5,1.04,1851
scalp,0.15,5.0,0.8,3,5.45,2425.1,-13.7,53.4,2.05,1851
scalp,0.15,5.0,0.8,5,5.21,6122.9,-22.8,53.4,1.99,1851
scalp,0.15,5.0,0.8,10,5.12,15369.3,-45.2,53.4,1.57,1851
scalp,0.15,5.0,1.0,3,4.61,2181.7,-13.7,53.6,1.95,1851
scalp,0.15,5.0,1.0,5,4.44,5717.1,-22.8,53.6,1.92,1851
scalp,0.15,5.0,1.0,10,4.32,14558.2,-45.2,53.6,1.55,1851
scalp,0.15,5.0,1.5,3,3.36,1615.1,-15.8,54.3,1.73,1851
scalp,0.15,5.0,1.5,5,3.3,4772.1,-22.8,54.3,1.78,1851
scalp,0.15,5.0,1.5,10,3.17,12668.6,-45.2,54.3,1.5,1851
scalp,0.15,5.0,2.0,3,2.66,1132.6,-15.8,55.0,1.54,1851
scalp,0.15,5.0,2.0,5,2.66,3849.5,-23.1,55.0,1.64,1851
scalp,0.15,5.0,2.0,10,2.53,10824.2,-45.7,55.0,1.45,1851
scalp,0.15,5.0,3.0,3,1.97,601.2,-15.8,56.4,1.23,1851
scalp,0.15,5.0,3.0,5,2.02,2270.9,-24.2,56.4,1.33,1851
scalp,0.15,5.0,3.0,10,1.92,7649.8,-47.3,56.4,1.3,1851
scalp,0.15,8.0,0.8,3,5.76,3949.2,-13.5,44.8,2.58,1851
scalp,0.15,8.0,0.8,5,5.48,8663.6,-22.4,44.8,2.33,1851
scalp,0.15,8.0,0.8,10,5.53,20448.4,-44.7,44.8,1.75,1851
scalp,0.15,8.0,1.0,3,4.89,3658.9,-13.5,45.1,2.5,1851
scalp,0.15,8.0,1.0,5,4.64,8179.3,-22.4,45.1,2.26,1851
scalp,0.15,8.0,1.0,10,4.66,19481.5,-44.7,45.1,1.72,1851
scalp,0.15,8.0,1.5,3,3.68,3073.6,-13.5,46.4,2.3,1851
scalp,0.15,8.0,1.5,5,3.5,7202.8,-22.4,46.4,2.14,1851
scalp,0.15,8.0,1.5,10,3.47,17527.2,-44.7,46.4,1.64,1851
scalp,0.15,8.0,2.0,3,2.96,2476.8,-13.5,47.5,2.07,1851
scalp,0.15,8.0,2.0,5,2.86,6206.8,-22.5,47.5,1.98,1851
scalp,0.15,8.0,2.0,10,2.79,15537.7,-44.9,47.5,1.59,1851
scalp,0.15,8.0,3.0,3,2.29,1591.1,-15.4,50.2,1.73,1851
scalp,0.15,8.0,3.0,5,2.24,4728.5,-23.8,50.2,1.77,1851
scalp,0.15,8.0,3.0,10,2.15,12576.9,-46.7,50.2,1.5,1851
scalp,0.2,1.5,0.8,3,2.94,169.0,-21.1,70.6,0.69,1851
scalp,0.2,1.5,0.8,5,2.94,419.7,-33.4,70.6,0.78,1851
scalp,0.2,1.5,0.8,10,3.0,2365.8,-45.8,70.6,1.01,1851
scalp,0.2,1.5,1.0,3,2.47,144.1,-21.4,70.6,0.64,1851
scalp,0.2,1.5,1.0,5,2.48,341.8,-33.8,70.6,0.73,1851
scalp,0.2,1.5,1.0,10,2.51,1821.0,-55.7,70.6,0.96,1851
scalp,0.2,1.5,1.5,3,1.78,91.8,-22.2,70.6,0.5,1851
scalp,0.2,1.5,1.5,5,1.78,195.5,-34.9,70.6,0.6,1851
scalp,0.2,1.5,1.5,10,1.8,765.3,-61.6,70.6,0.84,1851
scalp,0.2,1.5,2.0,3,1.38,51.0,-23.0,70.6,0.37,1851
scalp,0.2,1.5,2.0,5,1.39,98.2,-36.0,70.6,0.47,1851
scalp,0.2,1.5,2.0,10,1.4,288.3,-62.9,70.6,0.72,1851
scalp,0.2,1.5,3.0,3,0.97,-4.1,-24.3,70.7,0.12,1851
scalp,0.2,1.5,3.0,5,0.97,-7.1,-37.8,70.7,0.22,1851
scalp,0.2,1.5,3.0,10,0.97,-15.2,-64.9,70.7,0.49,1851
scalp,0.2,2.0,0.8,3,3.73,339.4,-18.8,68.6,0.96,1851
scalp,0.2,2.0,0.8,5,3.74,1076.0,-30.1,68.6,1.04,1851
scalp,0.2,2.0,0.8,10,3.81,5091.6,-45.7,68.6,1.17,1851
scalp,0.2,2.0,1.0,3,3.15,295.8,-19.1,68.6,0.9,1851
scalp,0.2,2.0,1.0,5,3.17,888.2,-30.5,68.6,0.99,1851
scalp,0.2,2.0,1.0,10,3.22,4509.5,-45.7,68.6,1.14,1851
scalp,0.2,2.0,1.5,3,2.26,206.0,-19.9,68.6,0.76,1851
scalp,0.2,2.0,1.5,5,2.29,543.3,-31.7,68.6,0.85,1851
scalp,0.2,2.0,1.5,10,2.36,3071.5,-45.7,68.6,1.06,1851
scalp,0.2,2.0,2.0,3,1.77,138.2,-20.7,68.7,0.63,1851
scalp,0.2,2.0,2.0,5,1.79,323.4,-32.8,68.7,0.72,1851
scalp,0.2,2.0,2.0,10,1.83,1665.0,-57.5,68.7,0.94,1851
scalp,0.2,2.0,3.0,3,1.25,48.9,-22.0,68.9,0.37,1851
scalp,0.2,2.0,3.0,5,1.26,93.3,-34.7,68.9,0.46,1851
scalp,0.2,2.0,3.0,10,1.27,265.1,-61.4,68.9,0.7,1851
scalp,0.2,3.0,0.8,3,4.75,892.1,-16.1,63.5,1.41,1851
scalp,0.2,3.0,0.8,5,4.87,3249.3,-23.0,63.5,1.53,1851
scalp,0.2,3.0,0.8,10,4.58,9621.8,-45.5,63.5,1.39,1851
scalp,0.2,3.0,1.0,3,4.03,782.1,-16.1,63.6,1.35,1851
scalp,0.2,3.0,1.0,5,4.14,2921.9,-23.0,63.6,1.46,1851
scalp,0.2,3.0,1.0,10,3.86,8967.1,-45.5,63.6,1.37,1851
scalp,0.2,3.0,1.5,3,2.91,560.1,-16.1,63.8,1.19,1851
scalp,0.2,3.0,1.5,5,2.99,2114.0,-23.0,63.8,1.29,1851
scalp,0.2,3.0,1.5,10,2.83,7348.5,-45.5,63.8,1.29,1851
scalp,0.2,3.0,2.0,3,2.28,397.2,-16.7,64.0,1.03,1851
scalp,0.2,3.0,2.0,5,2.33,1340.1,-27.0,64.0,1.12,1851
scalp,0.2,3.0,2.0,10,2.29,5762.3,-45.5,64.0,1.2,1851
scalp,0.2,3.0,3.0,3,1.63,196.3,-18.2,64.5,0.75,1851
scalp,0.2,3.0,3.0,5,1.66,507.0,-29.3,64.5,0.84,1851
scalp,0.2,3.0,3.0,10,1.72,2851.5,-46.0,64.5,1.04,1851
scalp,0.2,5.0,0.8,3,5.45,2425.1,-13.7,53.4,2.05,1851
scalp,0.2,5.0,0.8,5,5.21,6122.9,-22.8,53.4,1.99,1851
scalp,0.2,5.0,0.8,10,5.12,15369.3,-45.2,53.4,1.57,1851
scalp,0.2,5.0,1.0,3,4.61,2181.7,-13.7,53.6,1.95,1851
scalp,0.2,5.0,1.0,5,4.44,5717.1,-22.8,53.6,1.92,1851
scalp,0.2,5.0,1.0,10,4.32,14558.2,-45.2,53.6,1.55,1851
scalp,0.2,5.0,1.5,3,3.36,1615.1,-15.8,54.3,1.73,1851
scalp,0.2,5.0,1.5,5,3.3,4772.1,-22.8,54.3,1.78,1851
scalp,0.2,5.0,1.5,10,3.17,12668.6,-45.2,54.3,1.5,1851
scalp,0.2,5.0,2.0,3,2.66,1132.6,-15.8,55.0,1.54,1851
scalp,0.2,5.0,2.0,5,2.66,3849.5,-23.1,55.0,1.64,1851
scalp,0.2,5.0,2.0,10,2.53,10824.2,-45.7,55.0,1.45,1851
scalp,0.2,5.0,3.0,3,1.97,601.2,-15.8,56.4,1.23,1851
scalp,0.2,5.0,3.0,5,2.02,2270.9,-24.2,56.4,1.33,1851
scalp,0.2,5.0,3.0,10,1.92,7649.8,-47.3,56.4,1.3,1851
scalp,0.2,8.0,0.8,3,5.76,3949.2,-13.5,44.8,2.58,1851
scalp,0.2,8.0,0.8,5,5.48,8663.6,-22.4,44.8,2.33,1851
scalp,0.2,8.0,0.8,10,5.53,20448.4,-44.7,44.8,1.75,1851
scalp,0.2,8.0,1.0,3,4.89,3658.9,-13.5,45.1,2.5,1851
scalp,0.2,8.0,1.0,5,4.64,8179.3,-22.4,45.1,2.26,1851
scalp,0.2,8.0,1.0,10,4.66,19481.5,-44.7,45.1,1.72,1851
scalp,0.2,8.0,1.5,3,3.68,3073.6,-13.5,46.4,2.3,1851
scalp,0.2,8.0,1.5,5,3.5,7202.8,-22.4,46.4,2.14,1851
scalp,0.2,8.0,1.5,10,3.47,17527.2,-44.7,46.4,1.64,1851
scalp,0.2,8.0,2.0,3,2.96,2476.8,-13.5,47.5,2.07,1851
scalp,0.2,8.0,2.0,5,2.86,6206.8,-22.5,47.5,1.98,1851
scalp,0.2,8.0,2.0,10,2.79,15537.7,-44.9,47.5,1.59,1851
scalp,0.2,8.0,3.0,3,2.29,1591.1,-15.4,50.2,1.73,1851
scalp,0.2,8.0,3.0,5,2.24,4728.5,-23.8,50.2,1.77,1851
scalp,0.2,8.0,3.0,10,2.15,12576.9,-46.7,50.2,1.5,1851
fear_combo,0.03,1.5,0.8,3,2.58,59.1,-23.2,67.1,0.39,595
fear_combo,0.03,1.5,0.8,5,2.61,116.6,-38.3,67.1,0.51,595
fear_combo,0.03,1.5,0.8,10,2.67,366.7,-75.1,67.1,0.76,595
fear_combo,0.03,1.5,1.0,3,2.16,50.1,-23.2,67.1,0.36,595
fear_combo,0.03,1.5,1.0,5,2.17,96.4,-38.3,67.1,0.48,595
fear_combo,0.03,1.5,1.0,10,2.22,283.6,-75.1,67.1,0.74,595
fear_combo,0.03,1.5,1.5,3,1.53,29.9,-23.8,67.2,0.3,594
fear_combo,0.03,1.5,1.5,5,1.54,54.5,-38.4,67.2,0.42,594
fear_combo,0.03,1.5,1.5,10,1.55,136.8,-75.1,67.2,0.69,594
fear_combo,0.03,1.5,2.0,3,1.18,12.3,-24.5,67.2,0.23,594
fear_combo,0.03,1.5,2.0,5,1.18,21.1,-39.0,67.2,0.35,594
fear_combo,0.03,1.5,2.0,10,1.18,45.1,-75.5,67.2,0.63,594
fear_combo,0.03,1.5,3.0,3,0.83,-14.5,-26.0,67.5,0.1,594
fear_combo,0.03,1.5,3.0,5,0.82,-23.2,-40.0,67.5,0.23,594
fear_combo,0.03,1.5,3.0,10,0.81,-42.0,-76.4,67.5,0.54,594
fear_combo,0.03,2.0,0.8,3,3.39,106.5,-23.1,65.5,0.51,595
fear_combo,0.03,2.0,0.8,5,3.44,234.3,-38.2,65.5,0.62,595
fear_combo,0.03,2.0,0.8,10,3.55,1002.6,-75.0,65.5,0.84,595
fear_combo,0.03,2.0,1.0,3,2.83,94.2,-23.1,65.5,0.48,595
fear_combo,0.03,2.0,1.0,5,2.86,201.8,-38.2,65.5,0.59,595
fear_combo,0.03,2.0,1.0,10,2.95,802.0,-75.0,65.5,0.82,595
fear_combo,0.03,2.0,1.5,3,2.01,67.0,-23.1,65.7,0.41,594
