id,bot_type,symbol,side,signal_time,entry_price,leverage,position_size_pct,take_profit_pct,stop_loss_pct,tp_price,sl_price,current_price,unrealized_pnl_pct,status,exit_price,exit_time,exit_reason,realized_pnl_pct,notes,portfolio_id
4,levburn_sec_aggressive,LYN_USDT,long,2026-03-13T00:50:11.297925,0.23859,15.0,1.0,3.0,1.0,0.2457477,0.2362041,0.23859,0.0,closed,0.23859,2026-03-13T17:38:30.204644,MANUAL,-3.3,LevBurn-Sec aggressive score=80 FR=-0.0015,
5,levburn_sec_aggressive,RESOLV_USDT,long,2026-03-13T16:38:39.458578,0.09135,15.0,1.0,3.0,1.0,0.09409050000000001,0.0904365,0.09135,0.0,closed,0.09135,2026-03-13T17:38:27.567514,MANUAL,-3.3,LevBurn-Sec aggressive score=80 FR=-0.0006,
6,levburn_sec_aggressive,NAORIS_USDT,short,2026-03-13T16:46:13.158316,0.06956,15.0,1.0,3.0,1.0,0.0674732,0.0702556,0.06956,0.0,closed,0.06956,2026-03-13T17:38:23.878618,MANUAL,-3.3,LevBurn-Sec aggressive score=70 FR=+0.0005,
7,levburn_sec_aggressive,TRUMPOFFICIAL_USDT,long,2026-03-13T18:01:06.817905,3.752,15.0,1.0,3.0,1.0,3.86456,3.7144799999999996,3.652,-14.39,closed,3.7144799999999996,2026-03-13T18:10:29.605147,SL,-18.3,LevBurn-Sec aggressive score=80 FR=-0.0014,
8,levburn_sec_aggressive,MELANIA_USDT,long,2026-03-13T21:40:37.735158,0.134,15.0,1.0,3.0,1.0,0.13802,0.13266,0.1323,-11.19,closed,0.13266,2026-03-13T22:09:30.912432,SL,-18.3,LevBurn-Sec aggressive score=95 FR=-0.0005,
9,levburn_sec_scalp_micro,MELANIA_USDT,long,2026-03-13T21:40:38.732334,0.134,20.0,1.0,0.5,0.2,0.13466999999999998,0.13373200000000002,0.1336,0.0,closed,0.13373200000000002,2026-03-13T21:45:58.544493,SL,-8.4,LevBurn-Sec scalp_micro score=95 FR=-0.0005,
10,levburn_sec_aggressive,MELANIA_USDT,long,2026-03-13T21:42:09.415877,0.1347,15.0,1.0,3.0,1.0,0.138741,0.13335299999999997,0.1332,-11.14,closed,0.13335299999999997,2026-03-13T21:53:01.941637,SL,-18.3,LevBurn-Sec aggressive score=75 FR=-0.0005,
11,levburn_sec_aggressive,DENT_USDT,long,2026-03-13T21:47:26.304511,0.000226,15.0,1.0,3.0,1.0,0.00023278,0.00022374,0.000227,6.64,closed,0.000227,2026-03-13T23:10:23.394214,MANUAL,3.34,LevBurn-Sec aggressive score=80 FR=-0.0009,
12,levburn_sec_aggressive,DENT_USDT,long,2026-03-13T21:49:02.818788,0.000226,15.0,1.0,3.0,1.0,0.00023278,0.00022374,0.000227,6.64,closed,0.000227,2026-03-13T23:10:21.913829,MANUAL,3.34,LevBurn-Sec aggressive score=80 FR=-0.0009,
13,levburn_sec_aggressive,DENT_USDT,long,2026-03-13T21:51:19.505733,0.000226,15.0,1.0,3.0,1.0,0.00023278,0.00022374,0.000227,6.64,closed,0.000227,2026-03-13T23:10:20.851233,MANUAL,3.34,LevBurn-Sec aggressive score=80 FR=-0.0009,
14,levburn_sec_aggressive,DENT_USDT,long,2026-03-13T21:52:20.647116,0.000227,15.0,1.0,3.0,1.0,0.00023380999999999999,0.00022473,0.000227,0.0,closed,0.000227,2026-03-13T23:10:19.991208,MANUAL,-3.3,LevBurn-Sec aggressive score=80 FR=-0.0009,
15,levburn_sec_aggressive,DENT_USDT,long,2026-03-13T21:53:31.802750,0.000227,15.0,1.0,3.0,1.0,0.00023380999999999999,0.00022473,0.000227,0.0,closed,0.000227,2026-03-13T23:10:19.360319,MANUAL,-3.3,LevBurn-Sec aggressive score=80 FR=-0.0009,
16,levburn_sec_aggressive,DENT_USDT,long,2026-03-13T21:55:17.981086,0.000227,15.0,1.0,3.0,1.0,0.00023380999999999999,0.00022473,0.000227,0.0,closed,0.000227,2026-03-13T23:10:18.661157,MANUAL,-3.3,LevBurn-Sec aggressive score=80 FR=-0.0009,
17,levburn_sec_aggressive,DENT_USDT,long,2026-03-13T21:58:09.320434,0.000228,15.0,1.0,3.0,1.0,0.00023484000000000002,0.00022572,0.000225,-6.58,closed,0.00022572,2026-03-13T22:20:45.817364,SL,-18.3,LevBurn-Sec aggressive score=80 FR=-0.0009,
18,levburn_sec_aggressive,DENT_USDT,long,2026-03-13T22:05:11.204050,0.000227,15.0,1.0,3.0,1.0,0.00023380999999999999,0.00022473,0.000227,0.0,closed,0.000227,2026-03-13T23:10:17.965759,MANUAL,-3.3,LevBurn-Sec aggressive score=80 FR=-0.0009,
19,levburn_sec,DENT_USDT,long,2026-03-13T22:05:22.298947,0.000227,10.0,2.0,1.5,0.5,0.00023040499999999996,0.00022586499999999998,0.000225,0.0,closed,0.00022586499999999998,2026-03-13T22:20:45.818364,SL,-7.2,LevBurn-Sec standard score=95 FR=-0.0009,
20,levburn_sec_aggressive,MELANIA_USDT,long,2026-03-13T22:08:38.781554,0.1327,15.0,1.0,3.0,1.0,0.13668100000000002,0.13137300000000002,0.1346,21.48,closed,0.1346,2026-03-13T23:10:17.283632,MANUAL,18.18,LevBurn-Sec aggressive score=90 FR=-0.0006,
21,levburn_sec_aggressive,MELANIA_USDT,long,2026-03-13T22:11:20.297610,0.1328,15.0,1.0,3.0,1.0,0.13678400000000002,0.131472,0.1346,20.33,closed,0.1346,2026-03-13T23:10:16.486666,MANUAL,17.03,LevBurn-Sec aggressive score=80 FR=-0.0006,
22,levburn_sec_aggressive,DENT_USDT,long,2026-03-13T22:12:21.422818,0.000227,15.0,1.0,3.0,1.0,0.00023380999999999999,0.00022473,0.000227,0.0,closed,0.000227,2026-03-13T23:10:15.040587,MANUAL,-3.3,LevBurn-Sec aggressive score=80 FR=-0.0009,
23,levburn_sec_aggressive,RESOLV_USDT,long,2026-03-14T01:01:33.913788,0.08247,7.0,1.0,3.0,1.0,0.08494410000000001,0.0816453,0.08542,17.49,closed,0.08494410000000001,2026-03-14T01:30:37.578263,TP,19.46,LevBurn-Sec aggressive score=80 FR=-0.0011,
24,levburn_sec_aggressive,RESOLV_USDT,long,2026-03-14T01:13:16.199118,0.08375,7.0,1.0,3.0,1.0,0.0862625,0.0829125,0.08659,15.13,closed,0.0862625,2026-03-14T02:36:16.914257,TP,19.46,LevBurn-Sec aggressive score=90 FR=-0.0012,
25,levburn_sec_aggressive,RESOLV_USDT,long,2026-03-14T01:30:24.141879,0.0856,7.0,1.0,3.0,1.0,0.088168,0.084744,0.08453,-1.47,closed,0.084744,2026-03-14T01:33:23.870767,SL,-8.54,LevBurn-Sec aggressive score=75 FR=-0.0013,
26,levburn_sec_aggressive,RESOLV_USDT,long,2026-03-14T01:51:06.384257,0.08477,7.0,1.0,3.0,1.0,0.0873131,0.08392229999999999,0.08733,8.84,closed,0.0873131,2026-03-14T03:12:18.043306,TP,19.46,LevBurn-Sec aggressive score=80 FR=-0.0014,
27,levburn_sec_aggressive,RESOLV_USDT,long,2026-03-14T02:10:59.988426,0.08457,7.0,1.0,3.0,1.0,0.0871071,0.0837243,0.08733,10.51,closed,0.0871071,2026-03-14T03:12:23.557805,TP,19.46,LevBurn-Sec aggressive score=80 FR=-0.0015,
28,levburn_sec_aggressive,RESOLV_USDT,long,2026-03-14T02:28:27.976026,0.08651,7.0,1.0,3.0,1.0,0.08910530000000001,0.0856449,0.08556,0.0,closed,0.0856449,2026-03-14T02:29:31.288477,SL,-8.54,LevBurn-Sec aggressive score=95 FR=-0.0016,
29,levburn_sec_scalp_micro,RESOLV_USDT,long,2026-03-14T02:28:34.012590,0.0868,20.0,1.0,0.5,0.2,0.08723399999999999,0.0866264,0.08556,0.0,closed,0.0866264,2026-03-14T02:29:36.791047,SL,-8.4,LevBurn-Sec scalp_micro score=100 FR=-0.0016,
30,levburn_sec_aggressive,RESOLV_USDT,long,2026-03-14T02:34:02.809122,0.08701,7.0,1.0,3.0,1.0,0.0896203,0.0861399,0.08601,-6.84,closed,0.0861399,2026-03-14T02:42:06.966298,SL,-8.54,LevBurn-Sec aggressive score=90 FR=-0.0016,
31,levburn_sec_aggressive,RESOLV_USDT,long,2026-03-14T03:06:00.851339,0.08672,7.0,1.0,3.0,1.0,0.0893216,0.0858528,0.08568,0.81,closed,0.0858528,2026-03-14T05:36:09.753693,SL,-8.54,LevBurn-Sec aggressive score=95 FR=-0.0018,
