date,portfolio_id,mode,pnl_amount,pnl_pct,trade_count,win_count,cumulative_pnl
2026-03-15,,paper,5.56,2.78,1,1,5.56
2026-03-15,,paper,16.02,5.34,1,1,16.02
2026-03-15,,paper,16.68,8.34,1,1,16.68
2026-03-15,,paper,5.56,2.78,1,1,5.56
2026-03-15,,paper,19.46,19.46,1,1,19.46
2026-03-15,,paper,19.46,19.46,1,1,19.46
2026-03-15,,paper,5.56,2.78,1,1,5.56
2026-03-15,,paper,19.46,19.46,1,1,19.46
2026-03-15,,paper,2.78,2.78,1,1,2.78
2026-03-15,,paper,19.46,19.46,1,1,19.46
2026-03-15,,paper,5.6,5.6,1,1,5.6
2026-03-15,,paper,25.6,12.8,1,1,25.6
2026-03-15,,paper,-0.42,-0.42,1,0,-0.42
2026-03-15,,paper,-30.6,-10.2,1,0,-30.6
2026-03-15,,paper,0.84,0.84,1,1,0.84
