id,portfolio_id,mode,bot_name,symbol,side,leverage,amount,entry_price,entry_time,exit_price,exit_time,tp_price,sl_price,funding_rate,status,exit_reason,pnl_pct,pnl_amount,fee_amount,exchange_order_id,metadata,created_at,trade_serial
1,,paper,levburn_sec_aggressive,RESOLV_USDT,long,7.0,0.0,0.08247,2026-03-14T01:01:33.922403,0.08494410000000001,2026-03-14T01:30:37.578263,0.08494410000000001,0.0816453,,closed,TP,19.46,,,,,2026-03-13 16:01:33,
2,,paper,levburn_sec_aggressive,RESOLV_USDT,long,7.0,0.0,0.08375,2026-03-14T01:13:16.218085,0.0862625,2026-03-14T02:36:16.914257,0.0862625,0.0829125,,closed,TP,19.46,,,,,2026-03-13 16:13:16,
3,,paper,levburn_sec_aggressive,RESOLV_USDT,long,7.0,0.0,0.0856,2026-03-14T01:30:24.152254,0.084744,2026-03-14T01:33:23.870767,0.088168,0.084744,,closed,SL,-8.54,,,,,2026-03-13 16:30:24,
4,,paper,levburn_sec_aggressive,RESOLV_USDT,long,7.0,0.0,0.08477,2026-03-14T01:51:06.403972,0.0873131,2026-03-14T03:12:18.043306,0.0873131,0.08392229999999999,,closed,TP,19.46,,,,,2026-03-13 16:51:06,
5,,paper,levburn_sec_aggressive,RESOLV_USDT,long,7.0,0.0,0.08457,2026-03-14T02:11:00.007562,0.0871071,2026-03-14T03:12:23.557805,0.0871071,0.0837243,,closed,TP,19.46,,,,,2026-03-13 17:11:00,
6,,paper,levburn_sec_aggressive,RESOLV_USDT,long,7.0,0.0,0.08651,2026-03-14T02:28:27.994347,0.0856449,2026-03-14T02:29:31.288477,0.08910530000000001,0.0856449,,closed,SL,-8.54,,,,,2026-03-13 17:28:27,
7,,paper,levburn_sec_scalp_micro,RESOLV_USDT,long,20.0,0.0,0.0868,2026-03-14T02:28:34.030739,0.0866264,2026-03-14T02:29:36.791047,0.08723399999999999,0.0866264,,closed,SL,-8.4,,,,,2026-03-13 17:28:34,
8,,paper,levburn_sec_aggressive,RESOLV_USDT,long,7.0,0.0,0.08701,2026-03-14T02:34:02.818972,0.0861399,2026-03-14T02:42:06.966298,0.0896203,0.0861399,,closed,SL,-8.54,,,,,2026-03-13 17:34:02,
9,,paper,levburn_sec_aggressive,RESOLV_USDT,long,7.0,0.0,0.08672,2026-03-14T03:06:00.869093,0.0858528,2026-03-14T05:36:09.753693,0.0893216,0.0858528,,closed,SL,-8.54,,,,,2026-03-13 18:06:00,
10,,paper,levburn_sec_scalp_micro,RESOLV_USDT,long,20.0,0.0,0.08672,2026-03-14T03:06:01.893980,0.0871536,2026-03-14T03:12:29.074009,0.0871536,0.08654656000000001,,closed,TP,5.6,,,,,2026-03-13 18:06:01,
